All
good
so
I
was
buy
refurbished
phone
on
Amazon
after
reading
many
negative
reviews
various
spent
lot
time
my
options
figured
this
one
probably
Phone
came
in
perfect
condition
it
looks
brand
far
all
the
functions
seem
Set
up
ready
set
Camera
are
also
The
day
does
not
hold
charge
consistently
or
indicate
how
long
will
actually
This
is
sometimes
works
thought
doing
something
wrong
at
first
few
weeks
did
test
tracking
charged
confirmed
fault
that
purchased
from
Deals
